"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2444","TC_006 — single alphabetical character is accepted as first name","mobile-chrome","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","2023","TC_037 — date of birth 1900-01-01 is accepted","mobile-chrome","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","1910","TC_011 — email without @ shows format error","chromium","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2365","TC_003 — first name with digits shows format error","firefox","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","8005","TC_051 — phone number over 10 digits is rejected","webkit","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2145","TC_005 — whitespace-only first name is treated as empty","chromium","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","2082","TC_043 — phone number with 9 digits: document actual behaviour","chromium","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","4092","TC_064 — form submission must trigger a profile creation API call","chromium","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","1986","TC_002 — empty first name shows required error","mobile-chrome","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","7269","TC_081 — non-GitHub URL is rejected","mobile-chrome","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2303","TC_035 — date of birth in the far future: document actual behaviour","firefox","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","2289","TC_001 — successful registration with all fields","firefox","2026-08-10","passed","2026-08-10","Happy Path — User Registration","happy-path/registration.spec.ts","",""
"","3027","TC_043 — phone number with 9 digits: document actual behaviour","webkit","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","2528","TC_091 — successful registration with only mandatory fields","webkit","2026-08-10","passed","2026-08-10","Happy Path — User Registration","happy-path/registration.spec.ts","",""
"","2110","TC_001 — successful registration with all fields","mobile-chrome","2026-08-10","passed","2026-08-10","Happy Path — User Registration","happy-path/registration.spec.ts","",""
"","4255","TC_064 — form submission must trigger a profile creation API call","firefox","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","1920","TC_003 — first name with digits shows format error","chromium","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","7210","TC_052 — phone with alphabetical characters is rejected","chromium","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2753","TC_003 — first name with digits shows format error","webkit","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","7253","TC_051 — phone number over 10 digits is rejected","firefox","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","7861","TC_081 — non-GitHub URL is rejected","webkit","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2843","TC_001 — successful registration with all fields","webkit","2026-08-10","passed","2026-08-10","Happy Path — User Registration","happy-path/registration.spec.ts","",""
"","7169","TC_081 — non-GitHub URL is rejected","chromium","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
